age,income,emp_years,grade,loan_amount,interest_rate,status,percent_income,credit_history,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,loan_purpose_EDUCATION,loan_purpose_HOMEIMPROVEMENT,loan_purpose_MEDICAL,loan_purpose_PERSONAL,loan_purpose_VENTURE,default_history_Y,age_income_ratio,loan_income_ratio
21,9600,5.0,1,1000,11.14,0,0.1,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0021875,0.10416666666666667
21,9900,2.0,0,2500,7.14,1,0.25,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0021212121212121214,0.25252525252525254
21,10000,6.0,3,1600,14.74,1,0.16,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0021,0.16
24,10800,8.0,1,1750,10.99,1,0.16,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.16203703703703703
24,10980,0.0,0,1500,7.29,0,0.14,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.002185792349726776,0.1366120218579235
23,11000,0.0,0,1400,9.32,0,0.13,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0020909090909090908,0.12727272727272726
21,11389,5.0,2,4000,12.84,1,0.35,2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0018438844499078057,0.3512160856967249
21,11520,5.0,1,2000,11.12,1,0.17,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0018229166666666667,0.1736111111111111
21,12000,5.0,0,2500,7.51,1,0.21,4,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00175,0.20833333333333334
24,12000,4.0,1,2500,12.69,1,0.21,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.002,0.20833333333333334
24,12000,2.0,4,1750,10.99,0,0.15,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.002,0.14583333333333334
22,12000,7.0,3,1500,14.84,0,0.13,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0018333333333333333,0.125
25,12000,0.0,2,3000,10.99,1,0.25,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0020833333333333333,0.25
21,12000,6.0,2,3000,13.61,1,0.25,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.00175,0.25
21,12000,0.0,2,4200,13.48,1,0.35,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00175,0.35
22,12000,6.0,0,4750,7.14,1,0.4,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018333333333333333,0.3958333333333333
26,12000,0.0,0,2700,10.99,1,0.23,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021666666666666666,0.225
21,12000,5.0,4,3250,15.68,1,0.27,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00175,0.2708333333333333
24,12360,2.0,2,1600,13.57,0,0.13,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001941747572815534,0.12944983818770225
22,12600,4.0,0,2000,5.42,1,0.16,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001746031746031746,0.15873015873015872
25,12600,3.0,2,1750,13.61,0,0.14,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001984126984126984,0.1388888888888889
25,12816,0.0,2,3000,12.87,1,0.23,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019506866416978776,0.2340823970037453
24,12960,1.0,1,3650,9.91,1,0.28,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001851851851851852,0.2816358024691358
24,12960,0.0,1,4500,11.83,1,0.35,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001851851851851852,0.3472222222222222
23,12996,0.0,2,2400,13.49,1,0.18,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0017697753154816867,0.18467220683287167
25,12996,1.0,3,3600,14.59,1,0.28,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0019236688211757464,0.2770083102493075
22,12996,1.0,1,4750,10.99,1,0.37,3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001692828562634657,0.3654970760233918
23,13200,3.0,0,4950,7.9,1,0.38,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017424242424242424,0.375
23,13200,2.0,1,1400,9.25,0,0.11,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0017424242424242424,0.10606060606060606
21,13200,0.0,2,4500,12.98,1,0.34,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001590909090909091,0.3409090909090909
23,14000,2.0,3,4000,10.99,1,0.29,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001642857142857143,0.2857142857142857
21,14400,0.0,1,3000,10.99,1,0.21,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0014583333333333334,0.20833333333333334
22,14400,2.0,1,4000,10.99,1,0.28,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0015277777777777779,0.2777777777777778
25,14400,7.0,0,5375,5.79,1,0.37,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001736111111111111,0.3732638888888889
21,14400,0.0,2,1500,10.99,0,0.1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0014583333333333334,0.10416666666666667
23,14400,2.0,4,4000,16.7,1,0.28,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015972222222222223,0.2777777777777778
22,14400,0.0,1,2100,11.14,0,0.15,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0015277777777777779,0.14583333333333334
23,14664,0.0,2,6000,10.99,1,0.41,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001568466993998909,0.40916530278232405
21,15000,0.0,0,6200,7.9,1,0.41,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0014,0.41333333333333333
23,15000,7.0,1,4475,10.99,1,0.3,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0015333333333333334,0.29833333333333334
23,15000,1.0,2,1750,12.68,0,0.12,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0015333333333333334,0.11666666666666667
23,15000,4.0,2,4000,13.98,1,0.27,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015333333333333334,0.26666666666666666
23,15000,4.0,1,4600,10.99,1,0.31,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0015333333333333334,0.30666666666666664
25,15000,2.0,3,1750,15.31,0,0.12,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0016666666666666668,0.11666666666666667
23,15000,0.0,2,3600,13.47,1,0.24,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0015333333333333334,0.24
21,15000,0.0,2,3175,11.54,1,0.21,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0014,0.21166666666666667
21,15120,0.0,1,1500,10.59,0,0.1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001388888888888889,0.0992063492063492
23,15204,7.0,0,2800,8.49,1,0.18,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0015127598000526177,0.1841620626151013
22,15360,7.0,1,2500,12.53,1,0.16,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0014322916666666666,0.16276041666666666
25,134300,3.0,3,5000,16.49,1,0.03,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.00018615040953090097,0.03723008190618019
21,15600,5.0,0,1000,7.29,0,0.06,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001346153846153846,0.0641025641025641
24,15600,5.0,0,3300,6.39,1,0.21,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0015384615384615385,0.21153846153846154
25,15600,0.0,5,3200,18.09,1,0.21,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0016025641025641025,0.20512820512820512
23,16000,7.0,0,6000,7.9,1,0.38,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0014375,0.375
23,16000,3.0,2,2275,13.06,0,0.14,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0014375,0.1421875
23,16000,7.0,0,2000,6.39,0,0.13,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0014375,0.125
23,16000,1.0,2,5600,12.84,1,0.35,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0014375,0.35
24,16020,3.0,4,3625,17.14,1,0.23,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00149812734082397,0.2262796504369538
22,16094,2.0,0,5500,7.14,1,0.34,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001366969056791351,0.3417422641978377
22,16200,6.0,1,2000,12.42,0,0.12,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0013580246913580246,0.12345679012345678
25,16400,1.0,0,5000,8.94,1,0.3,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001524390243902439,0.3048780487804878
23,16500,6.0,1,4375,9.63,1,0.27,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001393939393939394,0.26515151515151514
22,16800,5.0,1,2000,10.65,0,0.12,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0013095238095238095,0.11904761904761904
25,125800,0.0,3,10000,14.09,1,0.07,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0001987281399046105,0.0794912559618442
24,16800,4.0,0,3900,10.99,1,0.23,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014285714285714286,0.23214285714285715
22,16800,0.0,2,4750,13.85,1,0.28,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0013095238095238095,0.28273809523809523
21,16800,0.0,1,6000,10.39,1,0.36,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00125,0.35714285714285715
22,17352,4.0,2,2250,15.27,0,0.13,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0012678653757491932,0.12966804979253113
22,17400,6.0,1,1000,11.36,0,0.06,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001264367816091954,0.05747126436781609
22,17760,6.0,2,4975,10.99,1,0.28,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0012387387387387387,0.2801238738738739
22,18000,3.0,0,3000,7.9,1,0.17,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0012222222222222222,0.16666666666666666
22,18000,4.0,1,2000,11.49,0,0.11,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0012222222222222222,0.1111111111111111
22,18000,1.0,0,3500,7.49,1,0.19,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0012222222222222222,0.19444444444444445
23,18000,3.0,0,4000,5.99,1,0.22,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0012777777777777779,0.2222222222222222
21,18000,3.0,3,4900,14.54,1,0.27,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0011666666666666668,0.2722222222222222
21,18000,4.0,1,5000,11.11,1,0.28,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0011666666666666668,0.2777777777777778
24,18000,0.0,0,6250,6.54,1,0.35,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0013333333333333333,0.3472222222222222
23,18000,1.0,3,2500,15.95,1,0.14,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0012777777777777779,0.1388888888888889
21,18000,0.0,1,6250,10.62,1,0.35,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011666666666666668,0.3472222222222222
21,18000,1.0,1,2500,11.36,0,0.14,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011666666666666668,0.1388888888888889
22,18000,2.0,2,4000,10.99,1,0.22,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0012222222222222222,0.2222222222222222
22,18000,1.0,3,5400,15.31,1,0.3,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0012222222222222222,0.3
25,18000,1.0,1,4000,10.99,1,0.22,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.001388888888888889,0.2222222222222222
21,18000,5.0,1,3375,10.99,1,0.19,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0011666666666666668,0.1875
24,18000,3.0,2,1200,11.34,0,0.07,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0013333333333333333,0.06666666666666667
22,18000,1.0,1,3000,9.96,1,0.17,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012222222222222222,0.16666666666666666
23,70000,7.0,2,22500,14.27,1,0.32,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032857142857142856,0.32142857142857145
24,18287,3.0,1,3000,11.99,1,0.16,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001312407721332094,0.16405096516651174
26,69846,2.0,5,22500,18.99,1,0.32,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.00037224751596369156,0.32213727343011767
24,73000,0.0,4,22400,16.7,1,0.31,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00032876712328767124,0.30684931506849317
24,18500,8.0,0,5000,9.32,1,0.27,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0012972972972972972,0.2702702702702703
21,18701,0.0,3,4200,14.11,1,0.22,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0011229346024276777,0.22458692048553552
22,57000,6.0,1,22000,9.63,1,0.39,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00038596491228070175,0.38596491228070173
25,58000,0.0,2,22000,14.65,1,0.38,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004310344827586207,0.3793103448275862
23,60000,6.0,1,22000,10.25,1,0.37,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038333333333333334,0.36666666666666664
24,60000,3.0,2,22000,14.26,1,0.37,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0004,0.36666666666666664
25,18840,5.0,1,3000,9.91,1,0.16,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001326963906581741,0.1592356687898089
26,56000,7.0,4,22000,17.19,1,0.39,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0004642857142857143,0.39285714285714285
22,70000,3.0,1,22000,11.36,1,0.31,4,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00031428571428571427,0.3142857142857143
22,66000,1.0,5,22000,10.99,1,0.33,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.3333333333333333
23,74064,3.0,1,22000,10.59,0,0.3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031054223374378916,0.2970403974940592
24,76597,5.0,1,22000,9.25,0,0.29,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00031332819823230674,0.2872175150462812
22,19000,6.0,0,3625,8.49,1,0.19,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011578947368421054,0.19078947368421054
26,77000,0.0,0,22000,6.54,0,0.29,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00033766233766233767,0.2857142857142857
21,19000,5.0,0,6000,8.49,1,0.32,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0011052631578947368,0.3157894736842105
24,80000,0.0,0,22000,10.99,0,0.28,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0003,0.275
26,82600,10.0,1,22000,12.69,0,0.27,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00031476997578692496,0.26634382566585957
24,19000,3.0,2,7400,13.85,1,0.39,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0012631578947368421,0.3894736842105263
25,19000,3.0,0,4000,7.4,1,0.21,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013157894736842105,0.21052631578947367
23,84000,3.0,1,22000,11.71,0,0.26,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002738095238095238,0.2619047619047619
25,77650,8.0,1,22000,11.48,1,0.28,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0003219575016097875,0.28332260141661303
25,82000,1.0,4,22000,17.51,1,0.27,2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.2682926829268293
21,19012,0.0,3,3500,14.61,1,0.18,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011045655375552283,0.18409425625920472
23,99996,3.0,0,22000,7.88,0,0.22,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023000920036801473,0.2200088003520141
23,110000,0.0,1,22000,10.99,0,0.2,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0002090909090909091,0.2
22,19200,6.0,1,4950,11.71,1,0.26,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0011458333333333333,0.2578125
25,57000,4.0,1,21700,11.99,1,0.38,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0004385964912280702,0.38070175438596493
24,54000,5.0,2,21600,13.49,1,0.4,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.00044444444444444447,0.4
26,63000,2.0,2,21600,14.35,1,0.34,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0004126984126984127,0.34285714285714286
